DatasetName,GroupName,DatasetAttributes,DatasetValue,Shape,Datatype
/AwakeEventData/AIRTR01/Acq/numericPosition,/AwakeEventData/AIRTR01/Acq,"{'exception': 'False', 'acqStamp': '1541902645194255000', 'comment': ""b'Marker laser delay stage in mm'""}",67.5,"(1,)",float32
/AwakeEventData/AIRTR02/Acq/numericPosition,/AwakeEventData/AIRTR02/Acq,"{'exception': 'False', 'acqStamp': '1541902645194255000', 'comment': ""b'Linear Translator in TCV4'""}",31.3,"(1,)",float32
/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback/phaseACurrentValue,/AwakeEventData/AWAKEInjPhaseShifter/PhaseReadback,"{'exception': 'False', 'acqStamp': '1541902636201000000', 'comment': ""b'SPS-AWAKE RF phase'""}",-23.75,"(1,)",float32
/AwakeEventData/BLMITT41/Acquisition/acqDesc,0,,,,
/AwakeEventData/BLMITT41/Acquisition/acqMsg,1,,,,
/AwakeEventData/BLMITT41/Acquisition/acqState,2,,,,
/AwakeEventData/BLMITT41/Acquisition/acqTime,3,,,,
/AwakeEventData/BLMITT41/Acquisition/alarmStatus,/AwakeEventData/BLMITT41/Acquisition,,,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition/blrSignalStatus,/AwakeEventData/BLMITT41/Acquisition,,,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition/calLosses,/AwakeEventData/BLMITT41/Acquisition,,,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition/calLosses_unit,4,,,,
/AwakeEventData/BLMITT41/Acquisition/calLosses_unitExponent,5,,,,
/AwakeEventData/BLMITT41/Acquisition/calThresholds,/AwakeEventData/BLMITT41/Acquisition,,,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition/channelNames,/AwakeEventData/BLMITT41/Acquisition,,,"(15,)",|S15
/AwakeEventData/BLMITT41/Acquisition/deviceName,6,,,,
/AwakeEventData/BLMITT41/Acquisition/enableExtFlagBIC,/AwakeEventData/BLMITT41/Acquisition,,,"(2,)",int32
/AwakeEventData/BLMITT41/Acquisition/measStamp,7,,,,
/AwakeEventData/BLMITT41/Acquisition/nbOfChannels,8,,,,
/AwakeEventData/BLMITT41/Acquisition/nbOfMeas,9,,,,
/AwakeEventData/BLMITT41/Acquisition/normLosses,/AwakeEventData/BLMITT41/Acquisition,,,"(40,)",float32
/AwakeEventData/BLMITT41/Acquisition/observables,10,,,,
/AwakeEventData/BLMITT41/Acquisition/rawLosses,/AwakeEventData/BLMITT41/Acquisition,,,"(40,)",int16
/AwakeEventData/BLMITT41/Acquisition/superCycleNb,/AwakeEventData/BLMITT41/Acquisition,,32,"(1,)",int32
/AwakeEventData/BLMITT41/Acquisition/totalGains,/AwakeEventData/BLMITT41/Acquisition,,,"(5,)",int32
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamIntensity,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,1.5419026411116872e+18,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/beamSize,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,1.5419026402436265e+18,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogX,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,-1.1211913208007813,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/cogY,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,-0.3616182495117187,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/height,11,,,,
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAmp,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,12.365740776062012,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjAvg,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,1.587018950500351,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjSigma,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,1.1884422228570282,"(1,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/horProjection,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,,"(2048,)",float64
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageRawData,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,,"(1080, 2048)",int16
/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage/imageTimeStamp,/AwakeEventData/BOVWA.01TCC4.AWAKECAM01/ExtractionImage,,1541902641262186599,"(1,)",int64
